brand,item_num,total-sizes,buyma_id,buyma_num,buyma_color,buyma_sizes,shop_name,price_memo,present_price,lowest_price,buyer_name,buyer_url,partition_price,change_price
MSGM,2840MP01X20700299,/46/48/50,52031425,2840MP01X20700299,2840MP01X20700299,"38/在庫なし/,40/在庫なし/,42/在庫なし/,44/在庫なし/,46/買付可/,48/買付可/,50/買付可/,52/在庫なし/,54/在庫なし/,56/在庫なし/,58/在庫なし/,60/在庫なし/,",Amr,27400,38922,38922,lusso.premio,https://www.buyma.com/buyer/7488199.html,32387,38844
MSGM,2840MP1320711889,/48/52/44/50/46,52031336,2840MP1320711889,2840MP1320711889,"38/在庫なし/,40/在庫なし/,42/在庫なし/,44/買付可/,46/買付可/,48/買付可/,50/買付可/,52/買付可/,54/在庫なし/,56/在庫なし/,58/在庫なし/,60/在庫なし/,",Amr,25200,33000,33000,lusso.premio,https://www.buyma.com/buyer/7488199.html,29787,32934
MSGM,2840MP83T20708137,/48/52/50/46,52031243,2840MP83T20708137,2840MP83T20708137,"38/在庫なし/,40/在庫なし/,42/在庫なし/,44/在庫なし/,46/買付可/,48/買付可/,50/買付可/,52/買付可/,54/在庫なし/,56/在庫なし/,58/在庫なし/,60/在庫なし/,",Amr,23100,30200,30200,lusso.premio,https://www.buyma.com/buyer/7488199.html,27304,30139
MSGM,2740MM10519579999,/M/S/L,52031139,2740MM10519579999,BLACK,"XXS/在庫なし/,XS/在庫なし/,S/買付可/,M/買付可/,L/買付可/,XL/在庫なし/,XXL/在庫なし/,XXXL/在庫なし/,",Amr,21000,27400,27400,lusso.premio,https://www.buyma.com/buyer/7488199.html,24822,27345
MSGM,2740MM9119579999,/M/S/L,52031064,2740MM9119579999,BLACK,"XXS/在庫なし/,XS/在庫なし/,S/買付可/,M/買付可/,L/買付可/,XL/在庫なし/,XXL/在庫なし/,XXXL/在庫なし/,",Amr,20200,30848,30848,lusso.premio,https://www.buyma.com/buyer/7488199.html,23877,30786
MSGM,2740MM11119556689,/M/S,52030986,2740MM11119556689,NAVY,"XXS/在庫なし/,XS/在庫なし/,S/買付可/,M/買付可/,L/在庫なし/,XL/在庫なし/,XXL/在庫なし/,XXXL/在庫なし/,",Amr,38100,49800,42480,e.gostyle,https://www.buyma.com/buyer/1840941.html,45035,49800
MSGM,2740MM16319579999,/M/L,52030892,2740MM16319579999,BLACK,"XXS/在庫なし/,XS/在庫なし/,S/在庫なし/,M/買付可/,L/買付可/,XL/在庫なし/,XXL/在庫なし/,XXXL/在庫なし/,",Amr,19500,25500,25500,lusso.premio,https://www.buyma.com/buyer/7488199.html,23049,25449
MSGM,2740MM16319579894,/S/L,52030790,2740MM16319579894,GRAY,"XXS/在庫なし/,XS/在庫なし/,S/買付可/,M/在庫なし/,L/買付可/,XL/在庫なし/,XXL/在庫なし/,XXXL/在庫なし/,",Amr,19500,27624,27624,lusso.premio,https://www.buyma.com/buyer/7488199.html,23049,27568
MSGM,2740ME04C19550001,/42/41/40,52030685,2740ME04C19550001,WHITE,"38/在庫なし/,40/買付可/,42/買付可/,44/在庫なし/,46/在庫なし/,48/在庫なし/,50/在庫なし/,52/在庫なし/,54/在庫なし/,56/在庫なし/,58/在庫なし/,60/在庫なし/,",Amr,23100,30200,30200,lusso.premio,https://www.buyma.com/buyer/7488199.html,27304,30139
MSGM,2740ME04C19550082,/42/41/40,52030581,2740ME04C19550082,BLUE,"38/在庫なし/,40/買付可/,42/買付可/,44/在庫なし/,46/在庫なし/,48/在庫なし/,50/在庫なし/,52/在庫なし/,54/在庫なし/,56/在庫なし/,58/在庫なし/,60/在庫なし/,",Amr,23100,30200,30200,lusso.premio,https://www.buyma.com/buyer/7488199.html,27304,30139
